;x;y;timestamp
708;11;5;31397
709;12;5;31419
710;13;5;31454
711;15;5;31484
712;15;5;31510
713;15;5;31531
714;15;5;31553
715;15;5;31577
716;15;5;31601
717;14;6;31632
718;14;6;31663
719;14;6;31686
720;14;6;31710
721;14;6;31732
722;14;6;31754
723;14;6;31777
724;14;6;31798
725;14;6;31830
726;15;7;31867
727;14;10;31888
728;14;12;31919
729;13;12;31954
730;13;12;31978
731;13;13;31998
732;12;13;32020
733;12;13;32045
734;12;13;32065
735;12;13;32099
736;12;13;32131
737;12;13;32164
738;12;13;32187
739;12;13;32210
740;12;13;32232
741;12;13;32254
742;12;13;32278
743;12;13;32298
744;12;13;32335
745;12;13;32365
